FID,lon,lat,Mass,Eruption_Start,Eruption_Duration,Last_Eruption,Elevation,FA,SHF,LAB,Curie,Magnetics,Moho,Volcano_Landform,Volcano_Type,Tectonic_Setting,Crustal_Type,Dominant_Rock
225,160.32,55.131,0.143,20110203,214,2013,2334,128,46,47,23.5,-487,33,3,4,3,1,1
226,160.32,55.131,0.306,20110906,96,2013,2334,128,46,47,23.5,-487,33,3,4,3,1,1
227,160.642,56.056,0.0008,19800306,7,2023,4754,14,58,44,22,500,32,3,4,3,1,2
228,160.642,56.056,0.125,19830308,112,2023,4754,14,58,44,22,500,32,3,4,3,1,2
229,160.642,56.056,0.252,19840406,547,2023,4754,14,58,44,22,500,32,3,4,3,1,2
230,160.642,56.056,0.001,19870224,20,2023,4754,14,58,44,22,500,32,3,4,3,1,2
231,160.642,56.056,0.085,19880129,230,2023,4754,14,58,44,22,500,32,3,4,3,1,2
232,160.642,56.056,0.004,19880223,25,2023,4754,14,58,44,22,500,32,3,4,3,1,2
233,160.642,56.056,0.137,20050116,169,2023,4754,14,58,44,22,500,32,3,4,3,1,2
234,-16.728,65.715,0.159,19800316,222,1984,800,65,124,32,12,258,25,2,1,2,2,2
235,-16.728,65.715,0.0832,19810130,6,1984,800,65,124,32,12,258,25,2,1,2,2,2
236,-16.728,65.715,0.109,19811118,6,1984,800,65,124,32,12,258,25,2,1,2,2,2
237,-16.728,65.715,0.26,19840904,15,1984,800,65,124,32,12,258,25,2,1,2,2,2
238,130.217,30.443,0.00134,20150529,1,2020,657,25,484,40,18,-5,25,3,4,3,2,1
239,-67.73,-23.37,0.25,19930419,1,2023,5592,82,175,83,29,10,56,3,4,3,1,1
240,-67.73,-23.37,0.00416,19890201,89,2023,5592,82,175,83,29,10,56,3,4,3,1,1
241,-67.73,-23.37,0.00286,19920226,12,2023,5592,82,175,83,29,10,56,3,4,3,1,1
242,-67.73,-23.37,0.0156,19930424,2,2023,5592,82,175,83,29,10,56,3,4,3,1,1
243,-71.586,-38.379,0.174,19881225,27,1990,2832,58,221,55,25,-4,43,3,4,3,1,1
244,-71.586,-38.379,0.052,19890121,96,1990,2832,58,221,55,25,-4,43,3,4,3,1,1
245,-71.586,-38.379,0.039,19881227,6,1990,2832,58,221,55,25,-4,43,3,4,3,1,1
246,-71.586,-38.379,0.084,19890102,5,1990,2832,58,221,55,25,-4,43,3,4,3,1,1
247,-71.586,-38.379,0.0624,19890107,19,1990,2832,58,221,55,25,-4,43,3,4,3,1,1
248,-71.586,-38.379,0.0133,19890126,7,1990,2832,58,221,55,25,-4,43,3,4,3,1,1
249,-71.586,-38.379,0.013,19890202,10,1990,2832,58,221,55,25,-4,43,3,4,3,1,1
250,-71.586,-38.379,0.386,19890212,346,1990,2832,58,221,55,25,-4,43,3,4,3,1,1
251,40.82,12.17,0.0185,20070812,3,2009,600,2,86,25,12.5,-47,25,4,3,2,3,2
252,40.82,12.17,0.0441,20090628,4,2009,600,2,86,25,12.5,-47,25,4,3,2,3,2
253,-155.608,19.475,0.55,19840325,21,2022,4170,98,35,75,15,-33,15,4,3,1,2,2
254,123.685,13.257,0.182,19840909,28,2024,2462,78,41,44,15,0,25,3,4,3,1,1
255,123.685,13.257,0.182,20060713,81,2024,2462,78,41,44,15,0,25,3,4,3,1,1
256,123.685,13.257,0.0962,20090915,109,2024,2462,78,41,44,15,0,25,3,4,3,1,1
257,110.446,-7.54,0.1,20101104,2,2024,2910,103,65,77,28,23,35,3,4,3,1,1
258,110.446,-7.54,0.013,20101101,2,2024,2910,103,65,77,28,23,35,3,4,3,1,1
259,110.446,-7.54,0.0039,20101106,1,2024,2910,103,65,77,28,23,35,3,4,3,1,1
260,139.526,34.094,0.0106,20100818,0,2010,775,101,64,49,22,94,23,3,4,3,2,2
261,-75.324,4.892,0.0415,19851113,0,2024,5279,30,141,168,27,27,46,3,4,3,1,1
262,-75.324,4.892,0.0027,19890901,0,2024,5279,30,141,168,27,27,46,3,4,3,1,1
263,-75.324,4.892,0.0027,20151001,578,2024,5279,30,141,168,27,27,46,3,4,3,1,1
266,29.2,-1.408,0.181,19800130,26,2024,3058,39,112,131,27,40,34,4,3,2,1,4
267,29.2,-1.408,0.339,19811225,21,2024,3058,39,112,131,27,40,34,4,3,2,1,4
268,29.2,-1.408,0.19,19840223,21,2024,3058,39,112,131,27,40,34,4,3,2,1,4
269,29.2,-1.408,0.156,19860716,36,2024,3058,39,112,131,27,40,34,4,3,2,1,4
270,29.2,-1.408,0.0166,19871230,5,2024,3058,39,112,131,27,40,34,4,3,2,1,4
271,29.2,-1.408,0.368,19910920,508,2024,3058,39,112,131,27,40,34,4,3,2,1,4
272,29.2,-1.408,0.132,19940704,24,2024,3058,39,112,131,27,40,34,4,3,2,1,4
273,29.2,-1.408,0.132,19961201,17,2024,3058,39,112,131,27,40,34,4,3,2,1,4
274,29.2,-1.408,0.183,19981017,13,2024,3058,39,112,131,27,40,34,4,3,2,1,4
